日期,公司,比赛队伍,赢(最新),平(最新),输(最新),赢(最旧),平(最旧),输(最旧),最新时间,最旧时间
'2021-09-05 00:30,威廉希尔,图库曼竞技 - 兵工厂(0-0),1.62,3.70,5.50,1.75,3.60,4.50,'2021-09-05 00:00:00,'2021-08-30 20:54:00
'2021-09-05 00:30,百家欧赔,马德里国际 - 扎莫拉(1-1),2.24,3.04,3.05,2.10,3.07,3.30,'2021-09-05 00:22:37,'2021-08-31 22:44:10
'2021-09-05 00:30,威廉希尔,马德里国际 - 扎莫拉(1-1),2.25,2.90,3.00,2.10,3.00,3.25,'2021-09-05 00:10:00,'2021-09-02 00:18:00
'2021-09-05 01:30,百家欧赔,萨瓦德尔 - 林恩斯(0-0),1.75,3.34,4.31,1.87,3.24,3.87,'2021-09-05 01:22:59,'2021-08-31 20:43:40
'2021-09-05 01:30,威廉希尔,萨瓦德尔 - 林恩斯(0-0),1.75,3.10,4.33,1.83,3.40,3.60,'2021-09-04 18:27:00,'2021-09-02 00:18:00
'2021-09-05 02:00,百家欧赔,卡塞罗 - 坦珀利(0-0),1.90,3.13,4.08,1.75,3.36,4.46,'2021-09-05 01:43:05,'2021-09-02 01:30:50
'2021-09-05 02:00,威廉希尔,卡塞罗 - 坦珀利(0-0),3.80,2.63,2.20,1.73,3.30,4.80,'2021-09-05 01:58:00,'2021-09-02 14:26:00
'2021-09-05 02:00,百家欧赔,查卡里塔青年 - 瑞斯塔(0-0),2.07,2.96,3.78,2.40,2.85,3.04,'2021-09-05 01:43:05,'2021-09-02 01:30:50
'2021-09-05 02:00,威廉希尔,查卡里塔青年 - 瑞斯塔(0-0),2.00,2.88,4.20,2.50,2.80,3.00,'2021-09-05 01:51:00,'2021-09-02 14:25:00
'2021-09-05 02:00,百家欧赔,维拉多尔米尼 - 圣太摩(3-3),2.56,2.80,2.90,2.49,2.97,2.80,'2021-09-05 01:53:08,'2021-09-02 01:40:56
'2021-09-05 02:00,威廉希尔,维拉多尔米尼 - 圣太摩(3-3),2.70,2.70,2.88,2.45,3.10,2.80,'2021-09-05 01:29:00,'2021-09-02 14:26:00
'2021-09-05 02:30,百家欧赔,梅西纳 - 巴勒莫(1-1),3.42,3.11,2.06,3.13,3.06,2.21,'2021-09-04 23:12:15,'2021-08-31 13:21:46
'2021-09-05 02:30,威廉希尔,梅西纳 - 巴勒莫(1-1),3.30,3.00,2.15,2.90,3.00,2.30,'2021-09-04 23:28:00,'2021-09-01 22:23:00
'2021-09-05 02:30,百家欧赔,尤文斯塔比亚 - 阿韦利诺(0-0),2.59,2.92,2.69,2.58,2.91,2.69,'2021-09-05 02:23:19,'2021-08-30 22:38:36
'2021-09-05 02:30,威廉希尔,尤文斯塔比亚 - 阿韦利诺(0-0),2.63,2.80,2.75,2.50,2.88,2.63,'2021-09-05 02:05:00,'2021-09-01 22:23:00
'2021-09-05 02:30,百家欧赔,匹彻诺 - 卡坦萨罗(0-0),4.00,3.37,1.82,4.16,3.44,1.75,'2021-09-05 02:13:15,'2021-08-30 22:48:39
'2021-09-05 02:30,威廉希尔,匹彻诺 - 卡坦萨罗(0-0),4.00,3.30,1.83,4.00,3.50,1.73,'2021-09-05 02:12:00,'2021-09-01 22:23:00
'2021-09-05 02:45,百家欧赔,乌克兰 - 法国(1-1),5.63,3.81,1.63,5.13,3.73,1.67,'2021-09-05 02:43:24,'2021-08-30 22:18:31
'2021-09-05 02:45,威廉希尔,乌克兰 - 法国(1-1),5.80,3.60,1.60,5.00,3.70,1.67,'2021-09-05 00:27:00,'2021-08-31 08:23:00
'2021-09-05 02:45,百家欧赔,科隆竞技 - 纽维尔老男孩(1-1),2.15,3.23,3.29,1.95,3.25,3.85,'2021-09-05 02:43:25,'2021-08-30 10:36:11
'2021-09-05 02:45,威廉希尔,科隆竞技 - 纽维尔老男孩(1-1),2.25,3.10,3.25,2.05,3.20,3.75,'2021-09-05 02:42:00,'2021-08-30 20:54:00
'2021-09-05 02:45,百家欧赔,拉努斯 - 萨米恩托(1-1),1.79,3.52,4.20,1.76,3.48,4.35,'2021-09-05 02:43:25,'2021-08-30 10:36:11
'2021-09-05 02:45,威廉希尔,拉努斯 - 萨米恩托(1-1),1.85,3.50,4.00,1.80,3.40,4.60,'2021-09-05 02:31:00,'2021-08-30 20:54:00
'2021-09-05 03:00,百家欧赔,富恩拉布雷达 - 卢戈(1-1),1.91,3.00,4.51,1.94,3.00,4.25,'2021-09-05 02:53:28,'2021-08-28 17:24:36
'2021-09-05 03:00,威廉希尔,富恩拉布雷达 - 卢戈(1-1),1.95,2.90,4.75,1.95,3.00,4.60,'2021-09-05 02:55:00,'2021-08-29 04:21:00
'2021-09-05 03:30,百家欧赔,马杜拉 - SD朗洛尼斯(0-0),2.25,3.01,3.06,2.63,3.03,2.62,'2021-09-05 03:23:39,'2021-08-31 22:44:10
'2021-09-05 03:30,威廉希尔,马杜拉 - SD朗洛尼斯(0-0),2.20,2.90,3.10,3.00,3.25,2.10,'2021-09-05 03:24:00,'2021-09-02 00:18:00
'2021-09-05 03:30,百家欧赔,利纳雷斯 - 阿尔科亚诺(1-1),2.34,2.90,3.02,2.14,3.03,3.27,'2021-09-05 03:23:39,'2021-08-31 22:24:05
'2021-09-05 03:30,威廉希尔,利纳雷斯 - 阿尔科亚诺(1-1),2.30,2.75,3.10,2.10,3.30,3.00,'2021-09-05 03:08:00,'2021-09-02 00:18:00
'2021-09-05 04:10,百家欧赔,阿尔米 - 圣马丁图库曼(0-0),2.58,2.76,2.94,2.60,2.83,2.88,'2021-09-05 03:33:42,'2021-09-02 01:30:50
'2021-09-05 04:10,威廉希尔,阿尔米 - 圣马丁图库曼(0-0),2.60,2.70,3.00,2.40,2.88,3.10,'2021-09-05 02:55:00,'2021-09-02 14:26:00
'2021-09-05 04:15,百家欧赔,累西腓航海 - 巴西瓜拉尼(1-1),2.42,3.05,2.91,2.29,3.01,3.11,'2021-09-05 04:13:54,'2021-08-28 22:46:48
'2021-09-05 04:15,威廉希尔,累西腓航海 - 巴西瓜拉尼(1-1),2.50,3.00,2.88,2.30,3.00,3.30,'2021-09-05 04:14:00,'2021-08-29 06:19:00
'2021-09-05 05:00,百家欧赔,普拉腾斯 - 圣洛伦索(1-1),2.55,2.98,2.82,2.30,3.08,3.06,'2021-09-05 04:54:07,'2021-08-30 03:34:56
'2021-09-05 05:00,威廉希尔,普拉腾斯 - 圣洛伦索(1-1),2.63,2.90,2.88,2.30,3.10,3.20,'2021-09-05 04:58:00,'2021-08-30 20:54:00
'2021-09-05 08:30,百家欧赔,艾斯图第安特 - FC萨莫拉(0-0),2.18,3.39,2.83,2.32,3.23,2.73,'2021-09-05 08:25:14,'2021-09-02 07:32:30
'2021-09-05 08:30,威廉希尔,艾斯图第安特 - FC萨莫拉(0-0),2.30,3.30,2.80,2.30,3.20,2.80,'2021-09-05 07:25:00,'2021-09-03 00:20:00
'2021-09-05 15:00,百家欧赔,青岛青春岛 - 青岛中能(0-0),10.38,4.99,1.22,7.16,4.19,1.41,'2021-09-05 14:57:19,'2021-09-04 20:31:22
'2021-09-05 15:00,威廉希尔,青岛青春岛 - 青岛中能(0-0),10.00,4.50,1.25,9.00,4.20,1.30,'2021-09-05 14:57:00,'2021-09-05 10:23:00
'2021-09-05 16:00,百家欧赔,布里斯班前锋 - 半岛电力(0-0),23.50,10.92,1.05,19.35,9.52,1.08,'2021-09-05 15:57:37,'2021-09-03 12:40:47
'2021-09-05 16:00,威廉希尔,布里斯班前锋 - 半岛电力(0-0),29.00,12.00,1.05,29.00,12.00,1.05,'2021-09-05 12:22:00,'2021-09-05 12:22:00
'2021-09-05 17:00,百家欧赔,广岛三箭 - 神户胜利船(1-1),2.49,3.13,2.80,2.69,3.32,2.46,'2021-09-05 16:17:43,'2021-08-07 10:42:16
'2021-09-05 17:00,威廉希尔,广岛三箭 - 神户胜利船(1-1),2.50,3.00,2.80,2.80,3.40,2.30,'2021-09-05 15:14:00,'2021-08-07 16:22:00
'2021-09-05 17:00,百家欧赔,冈山绿雉 - 爱媛FC(0-0),1.93,3.06,4.24,1.71,3.49,4.56,'2021-09-05 16:57:55,'2021-08-26 17:34:48
'2021-09-05 17:00,威廉希尔,冈山绿雉 - 爱媛FC(0-0),1.83,3.00,4.60,1.70,3.40,4.60,'2021-09-05 16:53:00,'2021-08-27 00:20:00
'2021-09-05 17:00,百家欧赔,川崎前锋 - 浦和红钻(3-3),1.64,3.74,4.99,1.36,4.57,7.95,'2021-09-05 16:57:56,'2021-09-01 20:49:32
'2021-09-05 17:00,威廉希尔,川崎前锋 - 浦和红钻(3-3),1.65,3.50,4.80,1.29,4.60,10.00,'2021-09-05 15:49:00,'2021-09-01 22:25:00
'2021-09-05 17:30,百家欧赔,斯波女足 - 比利亚女(0-0),2.04,3.47,3.06,1.84,3.70,3.39,'2021-09-05 17:28:06,'2021-09-04 20:11:15
'2021-09-05 17:30,威廉希尔,斯波女足 - 比利亚女(0-0),2.15,3.20,2.90,1.80,3.50,3.60,'2021-09-05 17:00:00,'2021-09-05 10:17:00
'2021-09-05 18:30,百家欧赔,狮子港 - BEC萨萨纳(3-3),1.45,4.12,5.86,1.50,4.04,5.40,'2021-09-05 18:28:25,'2021-09-04 17:00:07
'2021-09-05 18:30,威廉希尔,狮子港 - BEC萨萨纳(3-3),1.44,3.90,6.00,1.44,3.75,6.00,'2021-09-05 18:15:00,'2021-09-05 10:17:00
'2021-09-05 19:00,百家欧赔,清莱联 - 芭堤雅联(2-2),1.56,3.94,4.81,1.83,3.52,3.76,'2021-09-05 18:58:35,'2021-09-04 17:00:07
'2021-09-05 19:00,威廉希尔,清莱联 - 芭堤雅联(2-2),1.53,3.75,5.00,1.85,3.20,3.70,'2021-09-05 18:50:00,'2021-09-05 10:17:00
'2021-09-05 19:00,百家欧赔,春武里省 - 曼谷玻璃(1-1),4.13,3.42,1.77,4.37,3.58,1.69,'2021-09-05 18:58:35,'2021-09-04 17:00:07
'2021-09-05 19:00,威廉希尔,春武里省 - 曼谷玻璃(1-1),4.20,3.40,1.70,4.50,3.40,1.65,'2021-09-05 18:43:00,'2021-09-05 10:17:00
'2021-09-05 19:15,百家欧赔,PSM马卡萨 - 阿雷玛(1-1),3.46,3.28,1.94,2.58,3.26,2.67,'2021-09-05 19:08:38,'2021-09-04 23:52:27
'2021-09-05 19:15,威廉希尔,PSM马卡萨 - 阿雷玛(1-1),3.90,3.10,1.91,3.30,3.00,2.15,'2021-09-05 18:32:00,'2021-09-05 16:19:00
'2021-09-05 19:15,威廉希尔,PSM马卡萨 - 阿雷玛(1-1),3.90,3.10,1.91,3.30,3.00,2.15,'2021-09-05 18:32:00,'2021-09-05 16:19:00
'2021-09-05 19:15,威廉希尔,PSM马卡萨 - 阿雷玛(1-1),3.90,3.10,1.91,3.30,3.00,2.15,'2021-09-05 18:32:00,'2021-09-05 16:19:00
'2021-09-05 20:30,百家欧赔,戈梅尔火车头 - 德内普(1-1),2.86,3.21,2.25,2.97,3.34,2.12,'2021-09-05 20:29:02,'2021-08-29 19:32:57
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 20:30,威廉希尔,戈梅尔火车头 - 德内普(1-1),2.88,3.00,2.30,2.90,3.30,2.10,'2021-09-05 20:25:00,'2021-09-01 22:25:00
'2021-09-05 21:00,百家欧赔,挪臂 - 维萨隆德(0-0),1.64,3.99,4.62,1.60,3.91,4.97,'2021-09-05 20:59:13,'2021-08-25 15:36:26
'2021-09-05 21:00,威廉希尔,挪臂 - 维萨隆德(0-0),1.57,3.75,5.00,1.57,3.50,5.50,'2021-09-05 20:54:00,'2021-08-26 00:30:00
'2021-09-05 21:00,百家欧赔,1922科尼亚 - 塔素斯(0-0),6.32,4.57,1.37,5.07,4.24,1.59,'2021-09-05 20:59:14,'2021-09-05 02:43:25
'2021-09-05 21:00,威廉希尔,1922科尼亚 - 塔素斯(0-0),7.50,4.20,1.33,8.50,4.50,1.29,'2021-09-05 20:59:00,'2021-09-05 18:18:00
'2021-09-05 21:00,百家欧赔,卢旺达 - 肯尼亚(1-1),2.58,2.67,3.04,2.29,2.86,3.25,'2021-09-05 20:59:14,'2021-09-02 21:56:27
'2021-09-05 21:00,威廉希尔,卢旺达 - 肯尼亚(1-1),2.63,2.70,3.10,2.30,2.90,3.40,'2021-09-05 20:46:00,'2021-09-03 00:22:00
'2021-09-05 21:30,百家欧赔,萨热耶尔 - 埃尔盖内(1-1),1.70,3.50,4.19,1.68,3.55,4.22,'2021-09-05 21:29:24,'2021-09-05 00:32:41
'2021-09-05 21:30,威廉希尔,萨热耶尔 - 埃尔盖内(1-1),1.70,3.30,4.33,1.70,3.30,4.33,'2021-09-05 18:18:00,'2021-09-05 18:18:00
'2021-09-05 21:30,百家欧赔,斯莱曼 - 佩西加雅加达(1-1),4.39,3.31,1.74,2.99,3.18,2.41,'2021-09-05 21:29:24,'2021-09-04 23:52:27
'2021-09-05 21:30,威廉希尔,斯莱曼 - 佩西加雅加达(1-1),5.50,3.40,1.62,3.90,3.10,1.91,'2021-09-05 21:28:00,'2021-09-05 16:19:00
'2021-09-05 22:00,百家欧赔,多加尔普戴 - 弗拉季高加索(1-1),4.95,3.90,1.57,4.91,3.77,1.58,'2021-09-05 21:49:30,'2021-09-02 17:35:09
'2021-09-05 22:00,威廉希尔,多加尔普戴 - 弗拉季高加索(1-1),5.00,3.75,1.57,5.00,3.70,1.57,'2021-09-05 21:21:00,'2021-09-04 02:27:00
'2021-09-05 22:00,百家欧赔,伊比萨城 - 亚摩勒比塔(1-1),1.84,3.13,4.62,2.14,2.91,3.66,'2021-09-05 21:59:34,'2021-08-28 22:26:40
'2021-09-05 22:00,威廉希尔,伊比萨城 - 亚摩勒比塔(1-1),1.80,3.20,5.00,2.10,3.00,3.80,'2021-09-05 21:19:00,'2021-08-29 04:22:00
'2021-09-05 22:00,百家欧赔,阿特兰大竞技 - 甘拿斯亚(1-1),2.47,2.69,3.19,2.69,2.69,2.86,'2021-09-05 21:59:34,'2021-09-02 17:35:10
'2021-09-05 22:00,威廉希尔,阿特兰大竞技 - 甘拿斯亚(1-1),2.50,2.70,3.10,2.60,2.63,3.10,'2021-09-05 21:12:00,'2021-09-03 00:22:00
'2021-09-05 22:00,百家欧赔,米特雷沙尔塔 - 里奥夸托(1-1),2.64,2.66,2.97,2.88,2.77,2.58,'2021-09-05 21:59:34,'2021-09-02 17:35:10
'2021-09-05 22:00,威廉希尔,米特雷沙尔塔 - 里奥夸托(1-1),2.50,2.70,3.10,3.00,2.75,2.50,'2021-09-05 21:54:00,'2021-09-03 00:22:00
'2021-09-05 23:00,百家欧赔,蒙特港 - 圣塔克鲁兹(2-2),2.13,2.98,3.34,2.11,3.07,3.29,'2021-09-05 22:59:51,'2021-09-05 10:45:56
'2021-09-05 23:00,威廉希尔,蒙特港 - 圣塔克鲁兹(2-2),2.10,3.10,3.30,2.00,3.20,3.25,'2021-09-05 22:36:00,'2021-09-03 02:38:00
'2021-09-05 23:00,百家欧赔,沃罗涅日火炬 - 克拉斯诺B(0-0),1.52,3.88,5.57,1.61,3.79,4.69,'2021-09-05 22:59:52,'2021-09-02 17:35:09
'2021-09-05 23:00,威廉希尔,沃罗涅日火炬 - 克拉斯诺B(0-0),1.50,3.80,5.80,1.62,3.70,4.80,'2021-09-05 22:44:00,'2021-09-04 02:27:00
'2021-09-05 23:00,百家欧赔,尤尼恩斯塔斯 - 莱昂内萨(2-2),2.63,2.88,2.66,2.58,2.93,2.64,'2021-09-05 22:59:52,'2021-08-31 23:34:22
'2021-09-05 23:00,威廉希尔,尤尼恩斯塔斯 - 莱昂内萨(2-2),2.60,2.75,2.70,2.60,2.88,2.60,'2021-09-05 11:07:00,'2021-09-02 00:20:00
'2021-09-05 23:30,百家欧赔,比士托尔斯 - 格罗瑟托(1-1),2.53,2.93,2.73,2.38,3.02,2.83,'2021-09-05 23:30:01,'2021-08-30 21:58:28
'2021-09-05 23:30,威廉希尔,比士托尔斯 - 格罗瑟托(1-1),2.63,2.88,2.70,2.25,3.00,3.00,'2021-09-05 23:29:00,'2021-09-01 22:25:00
'2021-09-05 23:30,百家欧赔,特拉莫 - 锡耶纳(0-0),3.01,2.97,2.32,2.89,3.00,2.36,'2021-09-05 23:30:01,'2021-08-30 20:38:10
'2021-09-05 23:30,威廉希尔,特拉莫 - 锡耶纳(0-0),3.00,2.80,2.45,2.75,3.00,2.40,'2021-09-05 23:29:00,'2021-09-01 22:25:00
'2021-09-05 23:30,百家欧赔,比沙奴 - 彭特德拉(2-2),2.17,2.97,3.32,2.06,3.05,3.42,'2021-09-05 23:30:01,'2021-08-30 20:38:10
'2021-09-05 23:30,威廉希尔,比沙奴 - 彭特德拉(2-2),2.20,2.88,3.40,2.00,3.00,3.60,'2021-09-05 19:22:00,'2021-09-01 22:25:00
'2021-09-05 23:59,百家欧赔,冰岛 - 北马其顿(2-2),2.55,3.06,2.98,2.25,3.31,3.13,'2021-09-05 23:50:06,'2021-08-31 17:02:36
